ID_avaliacao,avaliacao
5775,"Gostei muito do produto! Entrega rápida e eficiente."
7734,"Produto veio com defeito, muito insatisfeito. Não recomendo!"
3756,"Excelente qualidade, atendeu todas as minhas expectativas."
6568,"A entrega atrasou, mas o produto é bom."
6266,"Péssimo atendimento e produto de baixa qualidade!"
4530,"Amei! Superou todas as expectativas, comprarei novamente."
9008,"Horrível, veio quebrado e não consegui trocar."
9199,"Produto bom, mas o preço é um pouco alto."
4020,"Ótima qualidade, chegou antes do esperado. Recomendo!"
9105,"Não gostei, a cor é diferente do que mostra nas fotos."

