ID_review,review,nota,sentimento
29619,"Fralda maravilhosa, macia e com duas possibilidades de uso.",4,positivo
79873,"Na mensagem fala que vem 6 unidades, só veio uma unidade. Não recomendo....",1,negativo
57424,"Produto muito bom, atende às expectativas, tem bom preço e a entrega foi antes do prazo previsto.",5,positivo
131361,Eu estou realmente muito satisfeita é de excelente qualidade.,5,positivo
9318,Como avaliar um produto se eu ainda nem o recebi.. acho q vcs estao muito fora da realidade.. porq nem procuram saber se a venda de vcs foi entregue...,1,negativo
126037,Meu filho e meu marido adoraram. Poderia ter mais sugestões de montagem no livro de ideias.,4,positivo
8630,"Ótimo produto, funciona super bem, podem comprar sem medo!",4,positivo
51215,"O fogão é ótimo, sobre a instalação não é caro, apenas precisa de um eletricista para fazer a ligação da nova fiação só para o fogão. O que foi mais caro e a pedra para colocação do fogão. Sobre o uso, é simples e muito mais forte que um fogão a gás. Além de que a limpeza é muito fácil, em 30 segundos está limpo.  Vale a pena.",5,positivo
5935,Ainda não recebi o produto. Muito atraso na entrega.,1,negativo
55074,Muito bom a entrega que deixou a desejar que quase não tinha ninguém pra responder.,5,positivo
116251,"Tenho dúvidas sobre a originalidade pois o mêsmo anuncia este mêsmo relógio por um preço bem mais em conta, fica a pergunta será que um é falso e o outro não?",2,negativo
7878,"O produto chegou no prazo determinado, e veio em ótima qualidade.",4,positivo
77380,Super indico para compra! Super indico para compra! Muito bom  .......,5,positivo
117447,comprei um ele estragou o microfone mandei pra assistencia e descobri q nao tinha reparo pois se tratava de um aparelho importado.,1,negativo
56549,"mop é um produto que não pode faltar no auxilio da limpeza de casa , facilidade, praticidade e eficiência são benefícios deste produto",5,positivo
71047,"Ainda não recebi o produto que tinha como prazo de entrega dia 22/03/2018. Portanto minha avaliação vai para a loja, visto que não tenho como avaliar o produto.",1,negativo
126900,"Muito bom essa dadeira, os produtos tramontinha são muito bons.",5,positivo
98775,Muito bom. Chegou na data prevista é como eu queria.,5,positivo
14721,"melhor escolha no produto, não esperava que me atenderia tao bem!!",4,positivo
55747,"Tudo perfeito, geladeira muito boa,.......................................................................................................",5,positivo
71139,o produto que eu comprei foi 1 e o que veio e outro !!,2,negativo
63737,ele esse smartphone eu recomendo para todos ele e muito bom,5,positivo
102186,Rapaz este produto até agora ainda não chegou em minha casa não gostaria de saber oq está acontecendo q não chegou.,2,negativo
56917,Tiveram 3 tampas amassadas. As tampas  sao  de qualidades  muito  ruim. Achei q era o mesmo material das panelas ainda vem amassadas isso pq mandaram 3 jogos em uma só  embalagem  sendo q paguei 3 fretes.nao gostei. Obrigado.,2,negativo
121487,muito bom foi entregue no prazo produto bom fácil de usar nota 10,4,positivo
75655,"Ainda não recebemos o produto, está extremamente atrasada a entrega e me sinto prejudicada já que justamente este produto é um planejamento anual e nao consegui fazer nada ainda e já estamos em abril.",1,negativo
109848,Alguém conseguiu resolver o problema do celular estou com o mesmo problema celular não funciona,1,negativo
36704,Qual o tempo de garantia ? não mostra em nenhum local,1,negativo
60339,Ótima relação custo X benefício. Excelente desempenho.,5,positivo
32318,telefone lindo amei e o site a entrega me surpreendeu me deram 17 dias chegou com 4 dias fiquei chocada parabéns Américas vcs arrasam.,5,positivo
132305,Bom produto e um ótimo custo beneficio. Recomendo. Confortável e bem acabado.,4,positivo
102308,"O ponto negativo é que, pelo próprio manual do produto, acreditamos que podemos utilizá-lo plugando a USB (que faria as vezes de um cabe hdmi, vga ou DP). Quando, na verdade, o suporte da USB permite que você utilize o monitor como uma espécie de HUB do seu Pc.",5,positivo
18407,Um ótimo produto e recomendo. Foi entreguei antes do prazo. Muito satisfeito.,4,positivo
6428,"É até bonitinho, mas descartável. Parou de funcionar no 3o uso. Péssima qualidade!",1,negativo
53057,ja venceu o prazo de entrega desde o dia 28 de fevereiro e eles n me respondem. n me dão retorno de nada,1,negativo
30080,"CELULAR MUITO BOM, TELE GRANDE, RAPIDO, BATERIA DURA UM DIA, EXCELENTE",4,positivo
91097,"Recebi o produto e já estou usando , tudo certinho!",5,positivo
10387,"Comprei dia 08/12 e entregaram depois do ano novo, completamente insatisfeito.",1,negativo
72290,Fiz a compra mas na descrição não informou que não era original. Decepcionada.,2,negativo
44741,"Chocolate incrível, vale o preço. Super recomendo!",5,positivo
127909,"O produto não cumpre o que promete. Não é um pirógrafo, fiquei mais de 15 minutos esperando para esquentar e nem chamusca direito a madeira.",1,negativo
98328,Comprei o Produto lendo os comentarios e tendo um receio por quê as pessoas diziam q ele chegava todo arranhado e com alguns defeitos de funcionabilidade do aparelho.  Comigo foi tudo ao contrario o aparelho veio sem nenhum arranhão (Juro) rs.. Wifi funcionando perfeitamente  Rede celular tudo numa boa  O Frete chegou 2º Semanas antes do prazo  O unico ponto negativo e que vem sem os tão desejados (Fones de Ouvidos da Apple) e sem a (chave de abertura da caixa de SIM)  Fora isso perfeito.,5,positivo
44156,A única coisa que posso avaliar é a incompetência e a farsa desse site péssimo que não  entregou meu produto.,1,negativo
96609,"O produto é ótimo!  Comprei pq achei que seria muito útil, e é, e além de útil, muito prático e não demora tanto quanto imaginei para fritar os alimentos",5,positivo
